"Source:","/Users/karl/Workspace/KiCad/Crimps/crimps/k2.sch"
"Date:","Thursday, November 18, 2021 at 08:59:49 PM"
"Tool:","Eeschema (5.1.10-1-10_14)"
"Generator:","/private/var/folders/6g/062y2qc95n76y3fy2wkwz5l40000gn/T/AppTranslocation/AF1E8601-DF93-40C0-9ED7-950A2D177542/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R1","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R2","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R3","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R4","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R5","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R6","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R7","100k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R8","180","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R9","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R10","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R11","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R12","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"","","R13","200k","k2-eagle-import:R-US_R0402","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
